atlas,file,path,symmetry_n,drift_deg
symmetry_resonance_atlas,sym_n06_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n06_drift_2.12.png,6,2.12
symmetry_resonance_atlas,sym_n04_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n04_drift_0.71.png,4,0.71
symmetry_resonance_atlas,sym_n11_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n11_drift_0.71.png,11,0.71
symmetry_resonance_atlas,sym_n09_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n09_drift_1.41.png,9,1.41
symmetry_resonance_atlas,sym_n05_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n05_drift_6.00.png,5,6.0
symmetry_resonance_atlas,sym_n10_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n10_drift_6.00.png,10,6.0
symmetry_resonance_atlas,sym_n14_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n14_drift_0.00.png,14,0.0
symmetry_resonance_atlas,sym_n05_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n05_drift_3.18.png,5,3.18
symmetry_resonance_atlas,sym_n10_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n10_drift_3.18.png,10,3.18
symmetry_resonance_atlas,sym_n09_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n09_drift_4.59.png,9,4.59
symmetry_resonance_atlas,sym_n11_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n11_drift_6.00.png,11,6.0
symmetry_resonance_atlas,sym_n04_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n04_drift_6.00.png,4,6.0
symmetry_resonance_atlas,sym_n08_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n08_drift_1.41.png,8,1.41
symmetry_resonance_atlas,sym_n10_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n10_drift_0.71.png,10,0.71
symmetry_resonance_atlas,sym_n05_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n05_drift_0.71.png,5,0.71
symmetry_resonance_atlas,sym_n07_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n07_drift_2.12.png,7,2.12
symmetry_resonance_atlas,sym_n12_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n12_drift_2.12.png,12,2.12
symmetry_resonance_atlas,sym_n08_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n08_drift_4.59.png,8,4.59
symmetry_resonance_atlas,sym_n11_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n11_drift_3.18.png,11,3.18
symmetry_resonance_atlas,sym_n04_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n04_drift_3.18.png,4,3.18
symmetry_resonance_atlas,sym_n15_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n15_drift_0.00.png,15,0.0
symmetry_resonance_atlas,sym_n07_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n07_drift_3.53.png,7,3.53
symmetry_resonance_atlas,sym_n12_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n12_drift_3.53.png,12,3.53
symmetry_resonance_atlas,sym_n08_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n08_drift_0.00.png,8,0.0
symmetry_resonance_atlas,sym_n15_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n15_drift_4.59.png,15,4.59
symmetry_resonance_atlas,sym_n19_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n19_drift_3.18.png,19,3.18
symmetry_resonance_atlas,sym_n18_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n18_drift_0.71.png,18,0.71
symmetry_resonance_atlas,sym_n19_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n19_drift_6.00.png,19,6.0
symmetry_resonance_atlas,sym_n15_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n15_drift_1.41.png,15,1.41
symmetry_resonance_atlas,sym_n20_drift_0.35.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n20_drift_0.35.png,20,0.35
